street_number,actual_street_name,Suburb,price_realised_1895,details_1896,price_realised_1896,d_1895,d_1896,price_ratio,lprice_diff,lrents_diff,lgroundrents_diff,details_1897,price_realised_1897,d_1897,details_1898,price_realised_1898,d_1898,details_1899,price_realised_1899,d_1899,details_1900,price_realised_1900,d_1900,details_1901,price_realised_1901,d_1901,details_1902,price_realised_1902,d_1902,details_1903,price_realised_1903,d_1903,details_1904,price_realised_1904,d_1904,details_1905,price_realised_1905,d_1905,details_1906,price_realised_1906,d_1906,details_1907,price_realised_1907,d_1907,details_1908,price_realised_1908,d_1908,details_1909,price_realised_1909,d_1909,details_1910,price_realised_1910,d_1910,details_1911,price_realised_1911,d_1911,details_1912,price_realised_1912,d_1912,details_1913,price_realised_1913,d_1913,details_1914,price_realised_1914,d_1914
216,LANCASTER ROAD,NOTTING HILL,360,,,-1,0,0.833333333,-0.182321557,0.619039208,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 56 YEARS, GR £8, WR £78",300,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0
34,DELAFORD STREET,FULHAM,180,,,-1,0,1.194444444,0.177681177,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 73 YEARS, GR £5 5S., WR £46 16S.",215,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0
36,WEYMOUTH TERRACE,HACKNEY,220,,,-1,0,0.977272727,-0.022989518,0.144581229,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 49 YEARS, GR £7, WR £41 12S.",215,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0
71,ABBEYFIELD ROAD,ROTHERHITHE,300,,,-1,0,0.95,-0.051293294,0.068992872,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 47¼ YEARS, GR £5, WR £39",285,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0
176,RAILTON ROAD,HERNE HILL,320,,,-1,0,1.125,0.117783036,,0.031252544,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 58 YEARS, GR 6/10/0, P",360,1,,,0,,,0,,,0,,,0,,,0,,,0
242,MILE END ROAD,MILE END,450,,,-1,0,0.666666667,-0.405465108,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 182 YEARS, GR 2S, WR 46/16/0",300,1,,,0,,,0,,,0,,,0,,,0,,,0
30,HERBERT STREET,HOXTON,440,,,-1,0,0.568181818,-0.565313809,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 33¾ YEARS, GR 6/6/0, YR 47/0/0",250,1,,,0,,,0,,,0,,,0,,,0,,,0
40,PENN STREET,HOXTON,310,,,-1,0,0.532258065,-0.630626824,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 28 YEARS, GR 5/10/0, YR 33/0/0",165,1,,,0,,,0,,,0,,,0,,,0,,,0
189,COLDHARBOUR LANE,CAMBERWELL,410,,,-1,0,1.512195122,0.413562318,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"F, YR 45/0/0",620,1,,,0,,,0,,,0,,,0,,,0
189,COLDHARBOUR LANE,CAMBERWELL,650,,,-1,0,0.953846154,-0.047252885,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"F, YR 45/0/0",620,1,,,0,,,0,,,0,,,0,,,0
